species,family,order,fishbase_name,column_pos,depth_min,depth_max,migration,length,length_type,diet,Comments,AddRems
Acipenser medirostris,Acipenseridae,Acipenseriformes,Acipenser medirostris,demersal,0,80,anadromous,270,TL,hunting macrofauna (predator),"Found in estuaries, lower reaches of large rivers, and in salt or brackish water off river mouths (Ref. 5723).  Probably spawns in fresh water (Ref. 27547).  May cover considerable distances in the ocean (Ref. 27547).  Edible but with a disagreeable taste and unpleasant odor (Ref. 1998).","Found in estuaries, lower reaches of large rivers, and in salt or brackish water off river mouths (Ref. 5723).  Probably spawns in fresh water (Ref. 27547).  May cover considerable distances in the ocean (Ref. 27547)."
Agonopsis vulsa,Agonidae,Scorpaeniformes,Agonopsis vulsa,demersal,0,163,NA,20,TL,NA,NA,NA
Anoplagonus inermis,Agonidae,Scorpaeniformes,Anoplagonus inermis,demersal,8,102,NA,15,TL,NA,Often found among rocks (Ref. 2850).  Usually caught by shrimp trawlers (Ref. 4925).,NA
Aspidophoroides monopterygius,Agonidae,Scorpaeniformes,Aspidophoroides monopterygius,demersal,0,695,NA,22,TL,NA,"Occurs primarily in the lower sections of the shelf all year (depths of 80-200 m) (Ref. 41410).  Inhabits sand and mud bottoms, with temperature range of -1.07 to 2.52°C (Ref. 5951).  Feeds on crustaceans and bottom fauna (Ref. 58426).","Remain primarily in the lower sections of the shelf all year (depths of 80-200 m) (Ref. 41410); benthic; feeds on crustaceans and bottom fauna (Ref. 58426).  It is preyed upon by cod, haddock and halibut (Ref. 5951). Nothing is known of the life of this fish except that of being bottom dwellers.  So far as is known, adults never stray into water shoaler than 18-27m, the deepest record is 332 m off west Greenland.  Breeding habits also unknown (Ref. 86779). One of numerous non-commercial marine fishes for which basic elements of life history and biology are poorly known (Ref. 93326)."
Aspidophoroides olrikii,Agonidae,Scorpaeniformes,Aspidophoroides olrikii,demersal,0,632,NA,8.600000381469727,TL,hunting macrofauna (predator),"Found on sand and mud bottoms, at temperatures mostly below 0°C, rarely to 2-3°C or more and salinities of 33-35 ppt (Ref. 4700).  Benthic (Ref. 58426).  Minimum depth reported at 7m (Ref. 5951).  Feeds on small amphipods, ostracods and nemertine worms (Ref. 4700).","Found on sand and mud bottoms, at temperatures mostly below 0°C, rarely to 2-3°C or more and salinities of 33-35 ppt (Ref. 4700).  Benthic (Ref. 58426).  Feeds on small amphipods, ostracods and nemertine worms (Ref. 4700).  It is preyed upon by halibut (Ref. 5951)."
Bathyagonus alascanus,Agonidae,Scorpaeniformes,Bathyagonus alascanus,demersal,18,252,NA,13,TL,NA,Inhabits rocky areas (Ref. 2850).,NA
Bathyagonus infraspinatus,Agonidae,Scorpaeniformes,Bathyagonus infraspinatus,demersal,18,183,NA,12,TL,NA,NA,NA
Bathyagonus nigripinnis,Agonidae,Scorpaeniformes,Bathyagonus nigripinnis,demersal,18,1290,NA,24.200000762939453,TL,NA,Found on soft bottoms (Ref. 2850).,NA
Bathyagonus pentacanthus,Agonidae,Scorpaeniformes,Bathyagonus pentacanthus,demersal,110,910,NA,23,TL,NA,Found on soft bottoms (Ref. 2850).,NA
Chesnonia verrucosa,Agonidae,Scorpaeniformes,Chesnonia verrucosa,demersal,18,425,NA,20,TL,NA,Found on soft bottoms (Ref. 2850).,NA
Hypsagonus quadricornis,Agonidae,Scorpaeniformes,Hypsagonus quadricornis,demersal,0,452,non-migratory,12,TL,NA,"Rocky sand, gravel, or pebble bottoms.  Frequently covered by featherlike polyps (small hydroid animals) (Ref. 2850).",NA
Leptagonus decagonus,Agonidae,Scorpaeniformes,Leptagonus decagonus,demersal,0,930,NA,21,TL,variable,"Inhabits muddy bottoms at temperatures of 4.4 to -1.7 °C (Ref. 4700).  Benthic, possibly bathypelagic (Ref. 58426).  Feeds on pelagic and benthic crustaceans and polychaetes (Ref. 4700).",Inhabits muddy bottoms at temperatures of 4.4 to -1.7 °C. Feeds on pelagic and benthic crustaceans and polychaetes.
Leptagonus frenatus,Agonidae,Scorpaeniformes,Sarritor frenatus,demersal,18,975,NA,27,TL,hunting macrofauna (predator),Found on soft bottoms (Ref. 2850).,Found on soft bottoms (Ref. 2850).  Remains in the upper zone of the continental slope (depths of 180-400) where a warmer intermediate water mass lies (Ref. 41410).
Leptagonus leptorhynchus,Agonidae,Scorpaeniformes,Sarritor leptorhynchus,bathydemersal,20,460,NA,25,TL,hunting macrofauna (predator),NA,"Remain  primarily in the lower sections of the shelf all year, at depths ranging from 80-200 m (Ref. 41410)."
Occella dodecaedron,Agonidae,Scorpaeniformes,Occella dodecaedron,demersal,0,325,NA,21.600000381469727,SL,NA,NA,Live in coastal shallows (50-70 m) and experience sharp seasonal temperature variations ranging from 1.8 to 12 °C (Ref. 41410).
Odontopyxis trispinosa,Agonidae,Scorpaeniformes,Odontopyxis trispinosa,demersal,9,373,NA,9.5,TL,selective plankton feeding,Found on soft bottoms (Ref. 2850).,Juveniles feed mainly on zooplankton (Ref. 6885).
Pallasina barbata,Agonidae,Scorpaeniformes,Pallasina barbata,demersal,0,105,NA,17,TL,hunting macrofauna (predator),"Inhabits intertidal areas and to 55 m depth, possibly to 128 m (Ref. 2850).  Often found among eelgrasses or seaweeds (Ref. 2850).",Always live in coastal shallows (50-70m) and experience sharp seasonal temperature variations ranging from 1.8-12°C (Ref. 41410).
Percis japonica,Agonidae,Scorpaeniformes,Percis japonica,bathydemersal,19,750,NA,42,TL,hunting macrofauna (predator),Found over rocky gravel and muddy sand bottoms (Ref. 43939).,Found in shallow water (Ref. 559). Remain primarily in the lower sections of the shelf all year (depths of 80-200 m) with minimal positive and negative temperatures (Ref. 41410).
Podothecus accipenserinus,Agonidae,Scorpaeniformes,Podothecus accipenserinus,demersal,2,710,NA,30.5,TL,hunting macrofauna (predator),"Common on soft bottoms (Ref. 2850).  Feeds on worms, crustaceans, and small fishes (Ref. 4925).",NA
Podothecus veternus,Agonidae,Scorpaeniformes,Podothecus veternus,demersal,10,605,NA,28,TL,NA,NA,NA
Stellerina xyosterna,Agonidae,Scorpaeniformes,Stellerina xyosterna,demersal,5,75,NA,16,TL,NA,Inhabits mud or sand bottom.,NA
Xeneretmus latifrons,Agonidae,Scorpaeniformes,Xeneretmus latifrons,bathydemersal,18,400,NA,19,TL,NA,"Inhabits soft bottoms.  Larvae pelagic (Ref. 6885).  Feeds almost exclusively on crustaceans, mainly mysids.  Preyed upon by flatfishes, hake, and lancetfish (Ref. 6885).",NA
Xeneretmus leiops,Agonidae,Scorpaeniformes,Xeneretmus leiops,demersal,37,399,NA,24,TL,NA,NA,NA
