species,family,order,fishbase_name,column_pos,depth_min,depth_max,length (cm),length_type,diet_fishbase,migration,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental care,fecundity,life_span,social,sources,Comments,AddRems,fish,decapod,pelagic_crustacean,Pteropoda,worm,tunicate,cephalopod,gastropod,Ctenophora,echinoderm,Bivalvia,Cnidaria,eggs,bird,
Aspidophoroides monopterygius,Agonidae,Scorpaeniformes,Aspidophoroides monopterygius,demersal,8,332,22,TL,NA,non-migratory,invertivore,fishbase,benthic,terminal,rounded,sandy mud bottoms,benthic,-1.7,12.15,32.79,32.93,larvae enter brackish,Mecklenburg et al. 2018,,3255,7,solitary,"https://link.springer.com/article/10.1007/s10641-010-9607-z, Coad et al. 2018","Occurs primarily in the lower sections of the shelf all year (depths of 80-200 m) (Ref. 41410).  Inhabits sand and mud bottoms, with temperature range of -1.07 to 2.52¬?C (Ref. 5951).  Feeds on crustaceans and bottom fauna (Ref. 58426).","Remain primarily in the lower sections of the shelf all year (depths of 80-200 m) (Ref. 41410); benthic; feeds on crustaceans and bottom fauna (Ref. 58426).  It is preyed upon by cod, haddock and halibut (Ref. 5951). Nothing is known of the life of this fish except that of being bottom dwellers.  So far as is known, adults never stray into water shoaler than 18-27m, the deepest record is 332 m off west Greenland.  Breeding habits also unknown (Ref. 86779). One of numerous non-commercial marine fishes for which basic elements of life history and biology are poorly known (Ref. 93326).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Aspidophoroides olrikii,Agonidae,Scorpaeniformes,Aspidophoroides olrikii,demersal,7,632,10,TL,hunting macrofauna (predator),,invertivore,fishbase,benthic,terminal,rounded,sandy mud bottoms,benthic,-1.85,7.9,20,35,,USGS,,260,,solitary,Coad et al. 2018,"Found on sand and mud bottoms, at temperatures mostly below 0¬?C, rarely to 2-3¬?C or more and salinities of 33-35 ppt (Ref. 4700).  Benthic (Ref. 58426).  Minimum depth reported at 7m (Ref. 5951).  Feeds on small amphipods, ostracods and nemertine worms (Ref. 4700).","Found on sand and mud bottoms, at temperatures mostly below 0¬?C, rarely to 2-3¬?C or more and salinities of 33-35 ppt (Ref. 4700).  Benthic (Ref. 58426).  Feeds on small amphipods, ostracods and nemertine worms (Ref. 4700).  It is preyed upon by halibut (Ref. 5951).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bathyagonus alascanus,Agonidae,Scorpaeniformes,Bathyagonus alascanus,demersal,18,252,13,TL,NA,,invertivore,Beukhof et al. 2019,benthic,terminal,rounded,mud bottoms,benthic,,,,,,,,,,solitary,,Inhabits rocky areas (Ref. 2850).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bathyagonus infraspinatus,Agonidae,Scorpaeniformes,Bathyagonus infraspinatus,demersal,6,183,12,TL,NA,,invertivore,Beukhof et al. 2019,benthic,terminal,rounded,mud bottoms,benthic,,,,,,,,,,solitary,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Bathyagonus nigripinnis,Agonidae,Scorpaeniformes,Bathyagonus nigripinnis,demersal,18,1247,24.20000076,TL,NA,,invertivore,Beukhof et al. 2019,benthic,superior,rounded,soft bottoms,benthic,0.4,3,,,,Love 2011,,,9,solitary,Beukhof et al. 2019,Found on soft bottoms (Ref. 2850).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Leptagonus frenatus,Agonidae,Scorpaeniformes,Sarritor frenatus,demersal,18,975,31,TL,hunting macrofauna (predator),,invertivore,NOAA,,inferior,rounded,soft bottoms,benthic,-1.2,4.2,,,,Mecklenburg et al. 2018,,,,solitary,,Found on soft bottoms (Ref. 2850).,Found on soft bottoms (Ref. 2850).  Remains in the upper zone of the continental slope (depths of 180-400) where a warmer intermediate water mass lies (Ref. 41410).,4.081632653,44.89795918,44.89795918,0,6.12244898,0,0,0,0,0,0,0,0,0,
Pallasina barbata,Agonidae,Scorpaeniformes,Pallasina barbata,demersal,0,128,20.7,TL,hunting macrofauna (predator),,planktivore,Beukhof et al. 2019,pelagic,terminal,rounded,grassy bottoms,demersal,0,12,,30.62,estuary,"Mecklenburg et al. 2018, USGS",,,5,solitary,Mecklenburg et al. 2018,"Inhabits intertidal areas and to 55 m depth, possibly to 128 m (Ref. 2850).  Often found among eelgrasses or seaweeds (Ref. 2850).",Always live in coastal shallows (50-70m) and experience sharp seasonal temperature variations ranging from 1.8-12¬?C (Ref. 41410).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Podothecus accipenserinus,Agonidae,Scorpaeniformes,Podothecus accipenserinus,demersal,2,300,38,TL,hunting macrofauna (predator),,carnivore,fishbase,variable,inferior,truncate,soft bottoms,benthic,-2.1,12,,,estuary,Love 2011,,5700,11,solitary,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,"Common on soft bottoms (Ref. 2850).  Feeds on worms, crustaceans, and small fishes (Ref. 4925).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Podothecus veternus,Agonidae,Scorpaeniformes,Podothecus veternus,demersal,18,240,28,TL,NA,,invertivore,NOAA,pelagic,inferior,truncate,soft bottoms,benthic,-1.8,10.5,,,,USGS,,,,solitary,,NA,NA,0,5.555555556,88.88888889,0,0,0,0,0,0,0,5.555555556,0,0,0,
Ammodytes personatus,Ammodytidae,Perciformes,Ammodytes personatus,demersal,0,172,15,TL,selective plankton feeding,oceanodromous,planktivore,fishbase,pelagic,terminal,forked,soft bottoms,buried,,,,,,,,"5,196",12,schooling,Pietsch and Orr 2019,"Found in sand bottoms and may enter semi-enclosed sea areas (Ref. 11230).  Forms large schools.  Important food fish in Japan (marketed fresh or dried) and marketed fresh but mainly used for meal and oil manufacture in Europe (Ref. 10384).  Common size taken from picture in Ref. 559.  Maximum size estimated as 1.5 * common size.  Two genetically different lineages were found in Japan Sea/East Sea, perhaps representing two different species (J.K. Kim, oral.comm, FishBoL2012, June 2012).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
