species,family,order,fishbase_name,fishbase_column_pos,depth_min,depth_max,migration,length_cm,length_type,diet_fishbase,buek_diet,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,add_rems,comments,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental_care,fecundity,life_span,social,sources,fish,decapod,pelagic_crustacean,pteropoda,worm,tunicate,cephalopod,gastropod,ctenophora,echinoderm,bivalvia,cnidaria,eggs,bird,in_phylo
Acipenser medirostris,Acipenseridae,Acipenseriformes,Acipenser medirostris,demersal,0,80,anadromous,270,TL,hunting macrofauna (predator),generalist,generalist,Beukhof et al. 2019,NA,inferior,heterocercal,NA,demersal,"Found in estuaries, lower reaches of large rivers, and in salt or brackish water off river mouths (Ref. 5723).  Probably spawns in fresh water (Ref. 27547).  May cover considerable distances in the ocean (Ref. 27547).","Found in estuaries, lower reaches of large rivers, and in salt or brackish water off river mouths (Ref. 5723).  Probably spawns in fresh water (Ref. 27547).  May cover considerable distances in the ocean (Ref. 27547).  Edible but with a disagreeable taste and unpleasant odor (Ref. 1998).",NA,NA,0,NA,NA,NA,none,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Agonopsis vulsa,Agonidae,Scorpaeniformes,Agonopsis vulsa,demersal,0,163,NA,20,TL,NA,NA,NA,NA,NA,inferior,rounded,soft bottoms,benthic,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Anoplagonus inermis,Agonidae,Scorpaeniformes,Anoplagonus inermis,demersal,8,102,NA,15,TL,NA,NA,NA,NA,NA,terminal,rounded,rocky bottoms,benthic,NA,Often found among rocks (Ref. 2850).  Usually caught by shrimp trawlers (Ref. 4925).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Aspidophoroides monopterygius,Agonidae,Scorpaeniformes,Aspidophoroides monopterygius,NA,8,332,non-migratory,22,TL,NA,NA,invertivore,fishbase,benthic,terminal,rounded,sandy mud bottoms,benthic,"Remain primarily in the lower sections of the shelf all year (depths of 80-200 m) (Ref. 41410); benthic; feeds on crustaceans and bottom fauna (Ref. 58426).  It is preyed upon by cod, haddock and halibut (Ref. 5951). Nothing is known of the life of this fish except that of being bottom dwellers.  So far as is known, adults never stray into water shoaler than 18-27m, the deepest record is 332 m off west Greenland.  Breeding habits also unknown (Ref. 86779). One of numerous non-commercial marine fishes for which basic elements of life history and biology are poorly known (Ref. 93326).","Occurs primarily in the lower sections of the shelf all year (depths of 80-200 m) (Ref. 41410).  Inhabits sand and mud bottoms, with temperature range of -1.07 to 2.52ª??C (Ref. 5951).  Feeds on crustaceans and bottom fauna (Ref. 58426).",-1.7,12.15,32.79,32.93,larvae enter brackish,Mecklenburg et al. 2018,NA,3255,7,solitary,"https://link.springer.com/article/10.1007/s10641-010-9607-z, Coad et al. 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Aspidophoroides olrikii,Agonidae,Scorpaeniformes,Aspidophoroides olrikii,NA,7,632,NA,10,TL,hunting macrofauna (predator),benthivorous,invertivore,fishbase,benthic,terminal,rounded,sandy mud bottoms,benthic,"Found on sand and mud bottoms, at temperatures mostly below 0ª??C, rarely to 2-3ª??C or more and salinities of 33-35 ppt (Ref. 4700).  Benthic (Ref. 58426).  Feeds on small amphipods, ostracods and nemertine worms (Ref. 4700).  It is preyed upon by halibut (Ref. 5951).","Found on sand and mud bottoms, at temperatures mostly below 0ª??C, rarely to 2-3ª??C or more and salinities of 33-35 ppt (Ref. 4700).  Benthic (Ref. 58426).  Minimum depth reported at 7m (Ref. 5951).  Feeds on small amphipods, ostracods and nemertine worms (Ref. 4700).",-1.85,7.9,20,35,NA,USGS,non-guarder,260,NA,solitary,Coad et al. 2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bathyagonus alascanus,Agonidae,Scorpaeniformes,Bathyagonus alascanus,NA,18,252,NA,13,TL,NA,NA,invertivore,Beukhof et al. 2019,benthic,terminal,rounded,mud bottoms,benthic,NA,Inhabits rocky areas (Ref. 2850).,NA,NA,NA,NA,NA,NA,none,NA,NA,solitary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bathyagonus infraspinatus,Agonidae,Scorpaeniformes,Bathyagonus infraspinatus,NA,6,183,NA,12,TL,NA,NA,invertivore,Beukhof et al. 2019,benthic,terminal,rounded,mud bottoms,benthic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bathyagonus nigripinnis,Agonidae,Scorpaeniformes,Bathyagonus nigripinnis,NA,18,1247,NA,24.20000076,TL,NA,benthivorous,invertivore,Beukhof et al. 2019,benthic,superior,rounded,soft bottoms,benthic,NA,Found on soft bottoms (Ref. 2850).,0.4,3,NA,NA,NA,Love 2011,non-guarder,NA,9,solitary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bathyagonus pentacanthus,Agonidae,Scorpaeniformes,Bathyagonus pentacanthus,demersal,110,910,NA,23,TL,NA,NA,NA,NA,NA,terminal,rounded,soft bottoms,benthic,NA,Found on soft bottoms (Ref. 2850).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Chesnonia verrucosa,Agonidae,Scorpaeniformes,Chesnonia verrucosa,demersal,18,425,NA,20,TL,NA,NA,NA,NA,NA,terminal,rounded,soft bottoms,benthic,NA,Found on soft bottoms (Ref. 2850).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Hypsagonus quadricornis,Agonidae,Scorpaeniformes,Hypsagonus quadricornis,demersal,0,452,non-migratory,12,TL,NA,benthivorous,invertivore,USGS,benthic,terminal,truncate,rocky bottoms,benthic,NA,"Rocky sand, gravel, or pebble bottoms.  Frequently covered by featherlike polyps (small hydroid animals) (Ref. 2850).",-1.2,10,NA,NA,occasionally in estuaries,USGS,non-guarder,921,7,solitary,USGS,0,0,50,0,50,0,0,0,0,0,0,0,0,0,TRUE
Leptagonus decagonus,Agonidae,Scorpaeniformes,Leptagonus decagonus,demersal,0,930,NA,21,TL,variable,generalist,invertivore,USGS,variable,inferior,rounded,sandy mud bottoms,benthic,Inhabits muddy bottoms at temperatures of 4.4 to -1.7 ª??…–C. Feeds on pelagic and benthic crustaceans and polychaetes.,"Inhabits muddy bottoms at temperatures of 4.4 to -1.7 ª??…–C (Ref. 4700).  Benthic, possibly bathypelagic (Ref. 58426).  Feeds on pelagic and benthic crustaceans and polychaetes (Ref. 4700).",-1.7,7.4,27.4,32.58,NA,USGS,non-guarder,1750,11,solitary,USGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Occella dodecaedron,Agonidae,Scorpaeniformes,Occella dodecaedron,demersal,0,325,NA,23,TL,NA,planktivorous,invertivore,USGS,benthic,terminal,rounded,sandy mud bottoms,benthic,Live in coastal shallows (50-70 m) and experience sharp seasonal temperature variations ranging from 1.8 to 12 ª??…–C (Ref. 41410).,NA,-1.5,15,NA,NA,occasionally in estuaries,USGS,non-guarder,4575,9,solitary,USGS,0,7.407407407,88.88888889,0,3.703703704,0,0,0,0,0,0,0,0,0,FALSE
Odontopyxis trispinosa,Agonidae,Scorpaeniformes,Odontopyxis trispinosa,demersal,9,373,NA,9.5,TL,selective plankton feeding,NA,planktivore,fishbase,pelagic,terminal,rounded,soft bottoms,benthic,Juveniles feed mainly on zooplankton (Ref. 6885).,Found on soft bottoms (Ref. 2850).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Pallasina barbata,Agonidae,Scorpaeniformes,Pallasina barbata,NA,0,128,NA,20.7,TL,hunting macrofauna (predator),planktivorous,planktivore,Beukhof et al. 2019,pelagic,terminal,rounded,grassy bottoms,demersal,Always live in coastal shallows (50-70m) and experience sharp seasonal temperature variations ranging from 1.8-12ª??C (Ref. 41410).,"Inhabits intertidal areas and to 55 m depth, possibly to 128 m (Ref. 2850).  Often found among eelgrasses or seaweeds (Ref. 2850).",0,12,NA,30.62,estuary,"Mecklenburg et al. 2018, USGS",non-guarder,NA,5,solitary,Mecklenburg et al. 2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
